    ,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1726250121967,65,SC01_API_GET,200,"Number of samples in transaction : 2, number of failing samples : 0",LoadTest 1-3,,true,,2207,127,309,309,null,0,3002,41
1726250124969,65,LIST USERS,200,OK,LoadTest 1-3,text,true,,1933,127,309,309,https://reqres.in/api/users?page=2,65,0,41
1726250125035,0,Debug Sampler,200,OK,LoadTest 1-3,text,true,,274,0,309,309,null,0,0,0
1726250121973,60,SC01_API_GET,200,"Number of samples in transaction : 2, number of failing samples : 0",LoadTest 1-4,,true,,2208,127,310,310,null,0,3005,35
1726250124979,60,LIST USERS,200,OK,LoadTest 1-4,text,true,,1933,127,310,310,https://reqres.in/api/users?page=2,60,0,35
1726250125039,0,Debug Sampler,200,OK,LoadTest 1-4,text,true,,275,0,310,310,null,0,0,0
1726250121954,79,SC01_API_GET,200,"Number of samples in transaction : 2, number of failing samples : 0",LoadTest 1-2,,true,,2208,127,310,310,null,0,3006,49
1726250124961,78,LIST USERS,200,OK,LoadTest 1-2,text,true,,1933,127,310,310,https://reqres.in/api/users?page=2,78,0,49
1726250125039,1,Debug Sampler,200,OK,LoadTest 1-2,text,true,,275,0,310,310,null,0,0,0
1726250122017,84,SC01_API_GET,200,"Number of samples in transaction : 2, number of failing samples : 0",LoadTest 1-8,,true,,2208,127,317,317,null,0,3005,52
1726250125023,84,LIST USERS,200,OK,LoadTest 1-8,text,true,,1933,127,317,317,https://reqres.in/api/users?page=2,84,0,52
1726250125107,0,Debug Sampler,200,OK,LoadTest 1-8,text,true,,275,0,317,317,null,0,0,0
1726250121942,167,SC01_API_GET,200,"Number of samples in transaction : 2, number of failing samples : 0",LoadTest 1-1,,true,,2212,127,317,317,null,0,3007,108
1726250124950,167,LIST USERS,200,OK,LoadTest 1-1,text,true,,1937,127,317,317,https://reqres.in/api/users?page=2,167,0,108
1726250125117,0,Debug Sampler,200,OK,LoadTest 1-1,text,true,,275,0,317,317,null,0,0,0
1726250122077,70,SC01_API_GET,200,"Number of samples in transaction : 2, number of failing samples : 0",LoadTest 1-14,,true,,2209,127,321,321,null,0,3005,46
1726250125083,70,LIST USERS,200,OK,LoadTest 1-14,text,true,,1933,127,321,321,https://reqres.in/api/users?page=2,70,0,46
1726250125153,0,Debug Sampler,200,OK,LoadTest 1-14,text,true,,276,0,321,321,null,0,0,0
1726250122097,62,SC01_API_GET,200,"Number of samples in transaction : 2, number of failing samples : 0",LoadTest 1-16,,true,,2209,127,322,322,null,0,3004,40
1726250125102,62,LIST USERS,200,OK,LoadTest 1-16,text,true,,1933,127,322,322,https://reqres.in/api/users?page=2,62,0,40
1726250125164,0,Debug Sampler,200,OK,LoadTest 1-16,text,true,,276,0,322,322,null,0,0,0
1726250121987,173,SC01_API_GET,200,"Number of samples in transaction : 2, number of failing samples : 0",LoadTest 1-5,,true,,2207,127,322,322,null,0,3005,113
1726250124993,173,LIST USERS,200,OK,LoadTest 1-5,text,true,,1932,127,322,322,https://reqres.in/api/users?page=2,173,0,113
1726250125166,0,Debug Sampler,200,OK,LoadTest 1-5,text,true,,275,0,322,322,null,0,0,0
1726250122007,156,SC01_API_GET,200,"Number of samples in transaction : 2, number of failing samples : 0",LoadTest 1-7,,true,,2208,127,323,323,null,0,3005,105
1726250125013,156,LIST USERS,200,OK,LoadTest 1-7,text,true,,1933,127,323,323,https://reqres.in/api/users?page=2,156,0,105
1726250125169,0,Debug Sampler,200,OK,LoadTest 1-7,text,true,,275,0,323,323,null,0,0,0
1726250121995,180,SC01_API_GET,200,"Number of samples in transaction : 2, number of failing samples : 0",LoadTest 1-6,,true,,2204,127,324,324,null,0,3005,117
1726250125001,180,LIST USERS,200,OK,LoadTest 1-6,text,true,,1929,127,324,324,https://reqres.in/api/users?page=2,180,0,117
1726250125181,0,Debug Sampler,200,OK,LoadTest 1-6,text,true,,275,0,324,324,null,0,0,0
1726250122117,70,SC01_API_GET,200,"Number of samples in transaction : 2, number of failing samples : 0",LoadTest 1-18,,true,,2208,127,325,325,null,0,3005,47
1726250125123,70,LIST USERS,200,OK,LoadTest 1-18,text,true,,1933,127,325,325,https://reqres.in/api/users?page=2,70,0,47
1726250125193,0,Debug Sampler,200,OK,LoadTest 1-18,text,true,,275,0,325,325,null,0,0,0
1726250122107,93,SC01_API_GET,200,"Number of samples in transaction : 2, number of failing samples : 0",LoadTest 1-17,,true,,2209,127,327,327,null,0,3005,61
1726250125113,93,LIST USERS,200,OK,LoadTest 1-17,text,true,,1933,127,327,327,https://reqres.in/api/users?page=2,93,0,61
1726250125206,0,Debug Sampler,200,OK,LoadTest 1-17,text,true,,276,0,327,327,null,0,0,0
1726250122046,162,SC01_API_GET,200,"Number of samples in transaction : 2, number of failing samples : 0",LoadTest 1-11,,true,,2208,127,327,327,null,0,3001,114
